index,Bodyarea,Exercise Name,Set,AverageWeight,Reps,Distance,Seconds,Notes,Workout Notes
0234,"Lower","Squat",6,295,8,0,0,"",""
0235,"Lower","Glute extension. ",1,130,10,0,0,"",""
0236,"Lower","Glute extension. ",2,130,10,0,0,"",""
0237,"Lower","Leg press",1,360,10,0,0,"",""
0238,"Lower","Leg press",2,360,10,0,0,"",""
0239,"Lower","Leg press",3,360,10,0,0,"",""
0240,"Lower","Leg outward fly",1,100,15,0,0,"",""
0241,"Lower","Leg outward fly",2,100,15,0,0,"",""
0242,"Lower","Leg outward fly",3,100,15,0,0,"",""
0243,"Back","Chin Up",1,52.5,8,0,0,"",""
0244,"Back","Chin Up",2,52.5,8,0,0,"",""
0245,"Back","Chin Up",3,52.5,8,0,0,"",""
0246,"Back","Chin Up",4,0,12,0,0,"",""
0247,"Back","Rear delt fly",1,125,12,0,0,"",""
0248,"Back","Rear delt fly",2,120,10,0,0,"",""
0249,"Back","Rear delt fly",3,120,14,0,0,"",""
0250,"Back","Seated Row",1,175,12,0,0,"",""
0251,"Back","Seated Row",2,190,10,0,0,"",""
0252,"Back","Seated Row",3,190,10,0,0,"",""
0253,"Back","Seated Row",4,130,12,0,0,"",""
0254,"Back","Hammer Curl",1,80,15,0,0,"",""
0255,"Back","Hammer Curl",2,80,15,0,0,"",""
0256,"Back","Chin Up",1,52.5,8,0,0,"",""
0257,"Back","Chin Up",2,52.5,8,0,0,"",""
0258,"Back","Chin Up",3,52.5,8,0,0,"",""
0259,"Back","Chin Up",4,0,12,0,0,"",""
0260,"Back","Rear delt fly",1,125,12,0,0,"",""
0261,"Back","Rear delt fly",2,120,10,0,0,"",""
0262,"Back","Rear delt fly",3,120,14,0,0,"",""
0263,"Back","Seated Cable Row (close Grip)",1,175,12,0,0,"",""
0264,"Back","Seated Cable Row (close Grip)",2,190,10,0,0,"",""
0265,"Back","Seated Cable Row (close Grip)",3,190,10,0,0,"",""
0266,"Back","Seated Cable Row (close Grip)",4,130,12,0,0,"",""
0267,"Back","Hammer Curl (Dumbbell )",1,80,15,0,0,"",""
0268,"Back","Hammer Curl (Dumbbell )",2,80,15,0,0,"",""
0269,"Shoulder","Seated Military Press (Dumbbell)",1,70,10,0,0,"",""
0270,"Shoulder","Seated Military Press (Dumbbell)",2,70,10,0,0,"",""
0271,"Shoulder","Seated Military Press (Dumbbell)",3,180,10,0,0,"",""
0272,"Shoulder","Seated Military Press (Dumbbell)",4,180,10,0,0,"",""
0273,"Shoulder","Seated Military Press (Dumbbell)",5,180,10,0,0,"",""
0274,"Shoulder","Seated Military Press (Dumbbell)",6,120,10,0,0,"",""
0275,"Shoulder","Lateral Raise",1,40,12,0,0,"",""
0276,"Shoulder","Lateral Raise",2,40,15,0,0,"",""
0277,"Shoulder","Weighted dips",1,0,10,0,0,"",""
0278,"Shoulder","Weighted dips",2,45,10,0,0,"",""
0279,"Shoulder","Weighted dips",3,90,10,0,0,"",""
0280,"Shoulder","Weighted dips",4,90,10,0,0,"",""
0281,"Shoulder","Weighted dips",5,90,10,0,0,"",""
0282,"Shoulder","Seated Shoulder Press (Dumbbell)",1,70,10,0,0,"",""
0283,"Shoulder","Seated Shoulder Press (Dumbbell)",2,70,10,0,0,"",""
0284,"Shoulder","Seated Shoulder Press (Dumbbell)",3,180,10,0,0,"",""
0285,"Shoulder","Seated Shoulder Press (Dumbbell)",4,180,10,0,0,"",""
0286,"Shoulder","Seated Shoulder Press (Dumbbell)",5,180,10,0,0,"",""
0287,"Shoulder","Seated Shoulder Press (Dumbbell)",6,120,10,0,0,"",""
0288,"Shoulder","Lateral Raise (Dumbbells)",1,40,12,0,0,"",""
0289,"Shoulder","Lateral Raise (Dumbbells)",2,40,15,0,0,"",""
0290,"Shoulder","Weighted dips",1,0,10,0,0,"",""
0291,"Shoulder","Weighted dips",2,45,10,0,0,"",""
0292,"Shoulder","Weighted dips",3,90,10,0,0,"",""
0293,"Shoulder","Weighted dips",4,90,10,0,0,"",""
0294,"Shoulder","Weighted dips",5,90,10,0,0,"",""
0295,"Lower","Squat",1,185,6,0,0,"315 was good. Don't bounce at top. Lower back very sore at end. ",""
0296,"Lower","Squat",2,185,8,0,0,"",""
0297,"Lower","Squat",3,225,8,0,0,"",""
0298,"Lower","Squat",4,250,8,0,0,"",""
0299,"Lower","Squat",5,280,8,0,0,"",""
0300,"Lower","Squat",6,290,8,0,0,"",""
0301,"Lower","Squat",7,300,8,0,0,"",""
0302,"Lower","Squat",8,315,8,0,0,"",""
0303,"Lower","Leg press",1,450,12,0,0,"",""
0304,"Lower","Leg press",2,450,12,0,0,"",""
0305,"Lower","Leg press",3,450,12,0,0,"",""
0306,"Lower","Squat (Barbell)",1,185,6,0,0,"315 was good. Don't bounce at top. Lower back very sore at end. ",""
0307,"Lower","Squat (Barbell)",2,185,8,0,0,"",""
0308,"Lower","Squat (Barbell)",3,225,8,0,0,"",""
0309,"Lower","Squat (Barbell)",4,250,8,0,0,"",""
0310,"Lower","Squat (Barbell)",5,280,8,0,0,"",""
0311,"Lower","Squat (Barbell)",6,290,8,0,0,"",""
0312,"Lower","Squat (Barbell)",7,300,8,0,0,"",""
0313,"Lower","Squat (Barbell)",8,315,8,0,0,"",""
0314,"Lower","Leg press (hinge )",1,450,12,0,0,"",""
0315,"Lower","Leg press (hinge )",2,450,12,0,0,"",""
0316,"Lower","Leg press (hinge )",3,450,12,0,0,"",""
0317,"Back","Chin Up",1,52.5,10,0,0,"",""
0318,"Back","Chin Up",2,52.5,8,0,0,"",""
0319,"Back","Chin Up",3,52.5,9,0,0,"",""
0320,"Back","Chin Up",4,0,12,0,0,"",""
0321,"Back","Chin Up",5,0,8,0,0,"",""
0322,"Back","Seated Cable Row (close Grip)",1,130,10,0,0,"",""
0323,"Back","Seated Cable Row (close Grip)",2,130,10,0,0,"",""
0324,"Back","Seated Cable Row (close Grip)",3,130,8,0,0,"",""
0325,"Back","Bicep Curl (Barbell)",1,70,13,0,0,"",""
0326,"Back","Bicep Curl (Barbell)",2,70,15,0,0,"",""
0327,"Back","T-bar Row",1,90,12,0,0,"",""
0328,"Back","T-bar Row",2,100,10,0,0,"",""
0329,"Back","T-bar Row",3,100,10,0,0,"",""
0330,"Back","T-bar Row",4,90,12,0,0,"",""
0331,"Back","Chin Up",1,52.5,10,0,0,"",""
0332,"Back","Chin Up",2,52.5,8,0,0,"",""
0333,"Back","Chin Up",3,52.5,9,0,0,"",""
0334,"Back","Chin Up",4,0,12,0,0,"",""
0335,"Back","Chin Up",5,0,8,0,0,"",""
0336,"Back","Seated Row",1,130,10,0,0,"",""
0337,"Back","Seated Row",2,130,10,0,0,"",""
0338,"Back","Seated Row",3,130,8,0,0,"",""
0339,"Back","Bicep Curl (barbell )",1,70,13,0,0,"",""
0340,"Back","Bicep Curl (barbell )",2,70,15,0,0,"",""
0341,"Back","T-bar Row",1,90,12,0,0,"",""
0342,"Back","T-bar Row",2,100,10,0,0,"",""
0343,"Back","T-bar Row",3,100,10,0,0,"",""
0344,"Back","T-bar Row",4,90,12,0,0,"",""
0345,"Chest","Incline Bench Press (Barbell)",1,165,8,0,0,"",""
0346,"Chest","Incline Bench Press (Barbell)",2,230,8,0,0,"",""
0347,"Chest","Incline Bench Press (Barbell)",3,232.5,8,0,0,"",""
0348,"Chest","Incline Bench Press (Barbell)",4,232.5,8,0,0,"",""
0349,"Chest","Incline Bench Press (Barbell)",5,235,8,0,0,"",""
0350,"Chest","Incline Press (Dumbbell)",1,120,11,0,0,"",""
0351,"Chest","Weighted dips",1,0,10,0,0,"",""
0352,"Chest","Weighted dips",2,0,14,0,0,"",""
0353,"Chest","Weighted dips",3,50,12,0,0,"",""
0354,"Chest","Weighted dips",4,50,12,0,0,"",""
0355,"Chest","Lateral Raise (Dumbbells)",1,50,12,0,0,"",""
0356,"Chest","Lateral Raise (Dumbbells)",2,50,12,0,0,"",""
0357,"Chest","Lateral Raise (Dumbbells)",3,50,12,0,0,"",""
0358,"Chest","Tricep pushdown",1,70,15,0,0,"",""
0359,"Chest","Tricep pushdown",2,70,15,0,0,"",""
0360,"Chest","Incline Bench Press",1,165,8,0,0,"",""
0361,"Chest","Incline Bench Press",2,230,8,0,0,"",""
0362,"Chest","Incline Bench Press",3,232.5,8,0,0,"",""
0363,"Chest","Incline Bench Press",4,232.5,8,0,0,"",""
0364,"Chest","Incline Bench Press",5,235,8,0,0,"",""
0365,"Chest","Incline Press (Dumbbell)",1,120,11,0,0,"",""
0366,"Chest","Weighted dips",1,0,10,0,0,"",""
0367,"Chest","Weighted dips",2,0,14,0,0,"",""
0368,"Chest","Weighted dips",3,50,12,0,0,"",""
0369,"Chest","Weighted dips",4,50,12,0,0,"",""
0370,"Chest","Lateral Raise",1,50,12,0,0,"",""
0371,"Chest","Lateral Raise",2,50,12,0,0,"",""
0372,"Chest","Lateral Raise",3,50,12,0,0,"",""
0373,"Chest","Tricep pushdown",1,70,15,0,0,"",""
0374,"Chest","Tricep pushdown",2,70,15,0,0,"",""
0375,"Back","Chin Up",1,0,12,0,0,"",""
0376,"Back","Chin Up",2,0,12,0,0,"",""
0377,"Back","Chin Up",3,0,12,0,0,"",""
0378,"Back","Chin Up",4,0,12,0,0,"",""
0379,"Back","Seated Row",1,130,16,0,0,"",""
0380,"Back","Seated Row",2,160,22,0,0,"",""
0381,"Back","Seated Row",3,160,12,0,0,"",""
0382,"Back","Seated Row",4,160,12,0,0,"",""
0383,"Back","Bicep Curl (barbell )",1,80,13,0,0,"",""
0384,"Back","Bicep Curl (barbell )",2,80,12,0,0,"",""
0385,"Back","Bicep Curl (barbell )",3,80,12,0,0,"",""
0386,"Back","Rear delt fly",1,115,15,0,0,"",""
0387,"Back","Rear delt fly",2,115,15,0,0,"",""
0388,"Back","Rear delt fly",3,115,15,0,0,"",""
0389,"Back","Chin Up",1,0,12,0,0,"",""
0390,"Back","Chin Up",2,0,12,0,0,"",""
0391,"Back","Chin Up",3,0,12,0,0,"",""
0392,"Back","Chin Up",4,0,12,0,0,"",""
0393,"Back","Seated Cable Row (close Grip)",1,130,16,0,0,"",""
0394,"Back","Seated Cable Row (close Grip)",2,160,22,0,0,"",""
0395,"Back","Seated Cable Row (close Grip)",3,160,12,0,0,"",""
0396,"Back","Seated Cable Row (close Grip)",4,160,12,0,0,"",""
0397,"Back","Bicep Curl (Barbell)",1,80,13,0,0,"",""
0398,"Back","Bicep Curl (Barbell)",2,80,12,0,0,"",""
0399,"Back","Bicep Curl (Barbell)",3,80,12,0,0,"",""
0400,"Back","Rear delt fly",1,115,15,0,0,"",""
0401,"Back","Rear delt fly",2,115,15,0,0,"",""
0402,"Back","Rear delt fly",3,115,15,0,0,"",""
0403,"Shoulder","Seated Shoulder Press (Dumbbell)",1,90,10,0,0,"",""
0404,"Shoulder","Seated Shoulder Press (Dumbbell)",2,180,12,0,0,"",""
0405,"Shoulder","Seated Shoulder Press (Dumbbell)",3,180,12,0,0,"",""
0406,"Shoulder","Seated Shoulder Press (Dumbbell)",4,180,10,0,0,"",""
0407,"Shoulder","Weighted dips",1,0,10,0,0,"",""
0408,"Shoulder","Weighted dips",2,0,10,0,0,"",""
0409,"Shoulder","Weighted dips",3,90,10,0,0,"",""
0410,"Shoulder","Weighted dips",4,90,10,0,0,"",""
0411,"Shoulder","Weighted dips",5,90,10,0,0,"",""
0412,"Shoulder","Weighted dips",6,0,8,0,0,"",""
0413,"Shoulder","Seated Shoulder  Press (Barbell)",1,135,10,0,0,"",""
0414,"Shoulder","Seated Shoulder  Press (Barbell)",2,135,12,0,0,"",""
0415,"Shoulder","Incline Bench Press (Barbell)",1,138,10,0,0,"",""
0416,"Shoulder","Seated Military Press (Dumbbell)",1,90,10,0,0,"",""
0417,"Shoulder","Seated Military Press (Dumbbell)",2,180,12,0,0,"",""
0418,"Shoulder","Seated Military Press (Dumbbell)",3,180,12,0,0,"",""
0419,"Shoulder","Seated Military Press (Dumbbell)",4,180,10,0,0,"",""
0420,"Shoulder","Weighted dips",1,0,10,0,0,"",""
0421,"Shoulder","Weighted dips",2,0,10,0,0,"",""
0422,"Shoulder","Weighted dips",3,90,10,0,0,"",""
0423,"Shoulder","Weighted dips",4,90,10,0,0,"",""
0424,"Shoulder","Weighted dips",5,90,10,0,0,"",""
0425,"Shoulder","Weighted dips",6,0,8,0,0,"",""
0426,"Shoulder","Seated Military Press",1,135,10,0,0,"",""
0427,"Shoulder","Seated Military Press",2,135,12,0,0,"",""
0428,"Shoulder","Incline Bench Press",1,138,10,0,0,"",""
0429,"Lower","Squat",1,185,8,0,0,"",""
0430,"Lower","Squat",2,185,8,0,0,"",""
0431,"Lower","Squat",3,225,8,0,0,"",""
0432,"Lower","Squat",4,225,8,0,0,"",""
0433,"Lower","Squat",5,225,8,0,0,"",""
0434,"Lower","Squat",6,245,9,0,0,"",""
0435,"Lower","Squat",7,250,8,0,0,"",""
0436,"Lower","Squat",8,250,8,0,0,"",""
0437,"Lower","Squat (Barbell)",1,185,8,0,0,"",""
0438,"Lower","Squat (Barbell)",2,185,8,0,0,"",""
0439,"Lower","Squat (Barbell)",3,225,8,0,0,"",""
0440,"Lower","Squat (Barbell)",4,225,8,0,0,"",""
0441,"Lower","Squat (Barbell)",5,225,8,0,0,"",""
0442,"Lower","Squat (Barbell)",6,245,9,0,0,"",""
0443,"Lower","Squat (Barbell)",7,250,8,0,0,"",""
